year,ENE01,ENE02,ENE03,ENE04,ENE05,ENE06,ENE07,ENE08,ENE09,ENE10,ENE11,ENE12,ENE13,ENE14,ENE15,ENE16,ENE17,ENE18,ENE19,ENE20,ENE21,ENE22,ENE23,ENE24,ENE25,ENE26,ENE27,ENE28,TRA01,TRA02,TRA03,TRA04,TRA05,TRA06,TRA07,TRA08,TRA09,TRA10,PRO01,PRO02,PRO03,PRO04,PRO05,PRO06,PRO07,PRO08,AGRI01,AGRI02,AGRI03,AGRI04,AGRI05,AGRI06,AGRI07,AGRI08,USC01,USC02,USC03,USC04,USC05,USC06,USC07,USC08,USC09,USC10,USC11,USC12,USC13,USC14,USC15,RES01,RES02,RES03,RES04,RES05,RES06,RES07,RES08
2030,3.963552146,4.551490399,5.467048735,1.659882929,4.635854687,9.39,8.559251733,1.502011757,0.02,0,0.256557458,3.247583904,1.556399935,1,0,0,0,0.075456212,0.038631126,0.06515085,0.091891457,0.18,0.001785098,0.024438846,0.090332824,0.062733456,0.074035726,1.001783054,0,1.885203248,2.60115216,2.67454659,0.622030825,0.139962935,1.605470163,0.48663883,1.999069938,0.848163835,3.244750647,2.105843169,3.244750646,1.140851082,1.336135589,0.545361465,0.470995771,0.269663043,2.741045184,2.901305567,0.531628118,0.543385892,0.00422388,0.353745804,0.292879307,0.345408843,12.22,17.78,10.18,12.5,6.25,3.74,2.81,1.425658314,1.21,0.81,2.5,2.19,0.104544,3.420679424,2.575157318,0.878464417,3.827307572,1.13862477,0.180877172,0.017440286,0.055918777,0.046977277,0.006922246
2031,4.147554539,4.85966139,5.578727036,1.632059593,4.79063014,10.2,7.994507573,0.847868315,0.02,0,0.250167211,3.58668748,1.614667359,1,0,0,0,0.070797157,0.037055102,0.061128101,0.091891457,0.18,0.001674877,0.022929866,0.08475521,0.05885997,0.072779136,1.001783054,0,1.979463411,2.754774809,2.923042136,0.560262756,0.139962935,1.607003718,0.475288606,2.076380003,0.910387779,3.337521397,2.166051386,3.337521396,1.173469185,1.374337076,0.560953909,0.493278035,0.28242049,2.741045184,2.901305567,0.583595947,0.543385892,0.005030689,0.357499157,0.294119674,0.343599795,12.17,17.73,10.14,12.47,6.23,3.68,2.76,1.425658314,1.28,0.86,2.5,2.19,0.052272,3.577766286,2.71807434,0.920196274,3.964276069,1.182678564,0.189352871,0.018125143,0.055918777,0.046977277,0.006922246
2032,4.309833646,4.935734348,5.60166441,1.685408383,4.705549244,10.44,9.279861497,1.147920076,0.02,0,-0.507843999,3.860899551,1.67566598,1,0,0,0,0.072557133,0.039082108,0.062647709,0.091891457,0.18,0.001716514,0.023499889,0.086862175,0.060323194,0.078106318,1.001783054,0.001767378,2.078436581,2.917256842,3.108783511,0.496866365,0.139962935,1.608578678,0.486669924,2.156238751,0.974377568,3.432039613,2.227393709,3.432039613,1.206701696,1.413258142,0.576840058,0.516457036,0.295691352,2.741045184,2.901305567,0.635563777,0.543385892,0.005837497,0.361249715,0.295360033,0.341862949,12.12,17.68,10.1,12.44,6.22,3.63,2.72,1.425658314,1.35,0.9,2.5,2.18,0.052272,3.741984892,2.868794631,0.960697843,4.097543144,1.225547787,0.197579923,0.018794987,0.055918777,0.046977277,0.006922246
2033,3.773575257,4.381405596,5.247959208,1.367364786,4.137758924,10.19,9.164133973,1.077892467,0.02,0,-0.83157308,3.918388083,1.738288344,1,0,0,0,0.074455318,0.041239314,0.064286652,0.091891457,0.18,0.00176142,0.024114676,0.089134598,0.061901324,0.083889552,1.001783054,0.001855747,2.182358411,3.089100141,3.305791418,0.43183324,0.139962935,1.610196163,0.497804614,2.238858599,1.040926948,3.527871638,2.289588693,3.527871637,1.24039614,1.452720212,0.592947025,0.540822575,0.309641552,2.741045184,2.901305567,0.697202625,0.543385892,0.006644306,0.364997643,0.296600385,0.340194067,12.07,17.64,10.05,12.42,6.21,3.57,2.68,1.623666413,1.43,0.95,2.49,2.18,0.104544,3.913659023,3.02774425,1.000042427,4.227334379,1.267304737,0.205573155,0.019450613,0.055918777,0.046977277,0.006922246
2034,3.792615705,4.40677766,5.10173567,1.412724287,3.795880713,10.73,9.326035069,0.966385381,0.02,0,3.566036145,3.805821426,1.802888904,1,0,0,0,0.069243537,0.039671782,0.059786665,0.091891457,0.18,0.001638123,0.022426678,0.082895284,0.057568307,0.081622027,1.001783054,0.001948534,2.291476331,3.270834628,3.514728157,0.365158197,0.139962935,1.611857319,0.508588247,2.324462476,1.110138304,3.624529514,2.352319655,3.624529515,1.274380953,1.492522356,0.609192798,0.566202277,0.324172399,2.741045184,2.901305567,0.758841473,0.543385892,0.007522304,0.368743089,0.29784073,0.338589236,12.01,17.59,10.01,12.39,6.2,3.52,2.64,1.821674512,1.43,0.95,2.49,2.18,0.156816,4.089551126,3.195372518,1.038299502,4.353863651,1.308017963,0.213346618,0.020092784,0.055918777,0.046977277,0.006922246
2035,3.705955902,4.752511932,5.548302591,1.247335931,3.971981468,11.34,10.43858745,0.69908696,0.02,0,3.069539424,4.913710205,1.869591588,1,0,0,0,0.067009011,0.039668152,0.057857317,0.091891457,0.18,0.001585259,0.021702957,0.080220209,0.055710547,0.082604574,1.001783054,0.002045961,2.588405145,3.55411124,3.736294091,0.296839627,0.139962935,1.613563327,0.518897249,2.413286043,1.45884586,3.721463643,2.415229905,3.721463644,1.308462896,1.532438255,0.625485002,0.592647025,0.339313026,2.741045184,2.901305567,0.823398301,0.543385892,0.008400301,0.372486191,0.299081067,0.337044837,11.96,17.54,9.97,12.37,6.18,3.46,2.6,2.019682611,1.43,0.95,2.49,2.18,0.209088,4.277006243,3.372153289,1.075534928,4.477333781,1.347751918,0.220913634,0.02072223,0.055918777,0.046977277,0.006922246
2036,4.300705483,5.192971103,6.016359456,1.540343855,4.303489001,12.12,7.935270062,0.79517176,0.02,0,3.084783627,4.986234474,1.938472771,1,0,0,0,0.067588333,0.041556264,0.058357519,0.091891457,0.18,0.001598965,0.021890589,0.080913748,0.056192189,0.087102423,1.001783054,0.002148259,2.706555516,3.763456204,4.130769454,0.234669729,0.139962935,1.615315397,0.528585689,2.505491486,1.526289917,3.818604922,2.478274595,3.818604923,1.342617672,1.572439455,0.641812022,0.620209693,0.355093705,2.741045184,2.901305567,0.887955129,0.543385892,0.009278299,0.376227075,0.300321396,0.335557521,11.91,17.49,9.93,12.34,6.17,3.41,2.56,2.21769071,1.43,0.95,2.49,2.18,0.26136,4.472971253,3.558586291,1.111705563,4.597552423,1.386412439,0.228260326,0.021328245,0.055918777,0.046977277,0.006922246
2037,4.700473765,5.557678901,6.399841195,2.176770401,5.146192008,13.08,8.875868763,0.899816296,0.02,0,3.4891305,5.966374577,2.009592855,1,0,0,0,0.064257997,0.040977655,0.055482021,0.091891457,0.18,0.001520178,0.020811955,0.076926818,0.053423385,0.086543623,1.001783054,0.002255672,2.826874271,3.980399036,4.411757142,0.179434166,0.139962935,1.617114773,0.614374248,2.601220492,1.596431736,3.916042592,2.541511641,3.916042591,1.376876659,1.612562703,0.658188858,0.648634702,0.371368107,2.741045184,2.901305567,0.952511957,0.543385892,0.010156296,0.379965859,0.301561718,0.334124181,11.86,17.45,9.88,12.32,6.16,3.36,2.52,2.415698809,1.43,0.95,2.49,2.18,0.209088,4.675877999,3.755198535,1.146798729,4.71444013,1.424007435,0.235389166,0.021920288,0.055918777,0.046977277,0.006922246
2038,4.521440248,5.602629758,6.487788523,2.014734112,4.845690498,13.21,9.102346346,1.14091177,0.02,0,3.364385062,6.611566244,2.083054976,1,0,0,0,0.063588777,0.042004618,0.054904199,0.091891457,0.18,0.001504346,0.020595208,0.076125658,0.052867003,0.08947722,1.001783054,0.002368456,2.949282874,4.205176162,4.717564647,0.131981795,0.139962935,1.618962732,0.632805475,2.700694873,1.669379228,4.013403578,2.604698922,4.013403578,1.411108685,1.652654375,0.674552806,0.678259205,0.388329264,2.741045184,2.901305567,1.026739803,0.543385892,0.011176672,0.383702651,0.302802033,0.332741929,11.81,17.4,9.84,12.29,6.15,3.3,2.48,2.613706908,1.43,0.95,2.49,2.18,0.156816,4.887996712,3.932008503,1.180876409,4.828191302,1.460599176,0.243283386,0.022499061,0.055918777,0.046977277,0.006922246
2039,5.069378753,5.887555411,6.883581112,1.809938246,5.2285723,14.23,9.077591802,1.271507172,0.02,0,3.625917319,6.843190487,2.158963313,1,0,0,0,0.064463,0.044055815,0.055659025,0.091891457,0.18,0.001525027,0.020878352,0.077172238,0.053593822,0.094744304,1.001783054,0.002486878,3.073689511,4.438028652,5.04997148,0.093229026,0.139962935,1.620860585,0.65178964,2.804147119,1.74524462,4.110288956,2.667577533,4.110288957,1.445173487,1.6925502,0.690836816,0.70914091,0.406010218,2.741045184,2.901305567,1.10096765,0.543385892,0.012197048,0.38743755,0.304042339,0.331408084,11.76,17.35,9.8,12.27,6.13,3.25,2.44,2.811715007,1.43,0.95,2.49,2.18,0.104544,5.109745613,4.1490096,1.213997336,4.938990195,1.496246681,0.249042781,0.023065233,0.055918777,0.046977277,0.006922246
